Feature,Pairs Tested,Mean IC,Std IC,Min IC,Max IC,Mean t-stat,Generalizes,Sign Consistent
Close_Position,4,-0.7487441302877493,0.006436271901108388,-0.7536459130251255,-0.7398834527357601,-75.30595292257085,True,True
MA_Spread_50_200,4,-0.05934073850765577,0.02320242136777354,-0.07852924617389527,-0.027486658801105696,-3.124594073097268,True,True
Distance_MA_20,4,-0.04978014326174294,0.011740786231193099,-0.06460581945856422,-0.036112228356081744,-3.5264547222827405,False,True
ROC_10,4,-0.045796713482709236,0.010639089856434742,-0.061323276015794626,-0.037996159835805024,-2.394297039019493,False,True
RSI_14,4,-0.04408011027020713,0.011381644819609965,-0.05382211062207749,-0.02795596603939768,-2.7359022121015255,False,True
ATR_14,4,0.006245604284647488,0.004632564373844386,0.0005858075975071978,0.01007999524063275,0.4424801992492414,False,True
