pair,n_signals,mean_bps,std_bps,win_rate,t_stat,p_value,signal_series,timestamps,status
GBPUSD,4583,0.046542906742054496,12.74106383490945,0.5001090988435523,0.24729921614027156,0.8046877452575473,"timestamp
2015-04-02 12:00:00+00:00    0
2015-04-02 13:00:00+00:00    0
2015-04-02 14:00:00+00:00    0
2015-04-02 15:00:00+00:00    0
2015-04-02 16:00:00+00:00    0
                            ..
2026-02-06 20:00:00+00:00    0
2026-02-06 21:00:00+00:00    0
2026-02-06 22:00:00+00:00    0
2026-02-06 23:00:00+00:00    0
2026-02-09 00:00:00+00:00    0
Length: 65000, dtype: int64","DatetimeIndex(['2015-04-02 12:00:00+00:00', '2015-04-02 13:00:00+00:00',
               '2015-04-02 14:00:00+00:00', '2015-04-02 15:00:00+00:00',
               '2015-04-02 16:00:00+00:00', '2015-04-02 17:00:00+00:00',
               '2015-04-02 18:00:00+00:00', '2015-04-02 19:00:00+00:00',
               '2015-04-02 20:00:00+00:00', '2015-04-02 21:00:00+00:00',
               ...
               '2026-02-06 15:00:00+00:00', '2026-02-06 16:00:00+00:00',
               '2026-02-06 17:00:00+00:00', '2026-02-06 18:00:00+00:00',
               '2026-02-06 19:00:00+00:00', '2026-02-06 20:00:00+00:00',
               '2026-02-06 21:00:00+00:00', '2026-02-06 22:00:00+00:00',
               '2026-02-06 23:00:00+00:00', '2026-02-09 00:00:00+00:00'],
              dtype='datetime64[us, UTC]', name='timestamp', length=65000, freq=None)",success
EURUSD,157,-0.17738659581311347,7.070921310410882,0.47770700636942676,-0.3143363611795143,0.7536855730203856,"timestamp
2025-10-27 09:00:00+00:00    0
2025-10-27 10:00:00+00:00    0
2025-10-27 11:00:00+00:00    0
2025-10-27 12:00:00+00:00    0
2025-10-27 13:00:00+00:00    0
                            ..
2026-02-25 14:00:00+00:00    0
2026-02-25 15:00:00+00:00    0
2026-02-25 16:00:00+00:00    0
2026-02-25 17:00:00+00:00    0
2026-02-25 18:00:00+00:00    0
Length: 2048, dtype: int64","DatetimeIndex(['2025-10-27 09:00:00+00:00', '2025-10-27 10:00:00+00:00',
               '2025-10-27 11:00:00+00:00', '2025-10-27 12:00:00+00:00',
               '2025-10-27 13:00:00+00:00', '2025-10-27 14:00:00+00:00',
               '2025-10-27 15:00:00+00:00', '2025-10-27 16:00:00+00:00',
               '2025-10-27 17:00:00+00:00', '2025-10-27 18:00:00+00:00',
               ...
               '2026-02-25 09:00:00+00:00', '2026-02-25 10:00:00+00:00',
               '2026-02-25 11:00:00+00:00', '2026-02-25 12:00:00+00:00',
               '2026-02-25 13:00:00+00:00', '2026-02-25 14:00:00+00:00',
               '2026-02-25 15:00:00+00:00', '2026-02-25 16:00:00+00:00',
               '2026-02-25 17:00:00+00:00', '2026-02-25 18:00:00+00:00'],
              dtype='datetime64[us, UTC]', name='timestamp', length=2048, freq=None)",success
USDCHF,155,0.827867213603155,9.656659431658293,0.5548387096774193,1.0673322138747128,0.2874921753114712,"timestamp
2025-10-27 09:00:00+00:00    0
2025-10-27 10:00:00+00:00    0
2025-10-27 11:00:00+00:00    0
2025-10-27 12:00:00+00:00    0
2025-10-27 13:00:00+00:00    0
                            ..
2026-02-25 15:00:00+00:00    0
2026-02-25 16:00:00+00:00    0
2026-02-25 17:00:00+00:00    0
2026-02-25 18:00:00+00:00    0
2026-02-25 19:00:00+00:00    0
Length: 2049, dtype: int64","DatetimeIndex(['2025-10-27 09:00:00+00:00', '2025-10-27 10:00:00+00:00',
               '2025-10-27 11:00:00+00:00', '2025-10-27 12:00:00+00:00',
               '2025-10-27 13:00:00+00:00', '2025-10-27 14:00:00+00:00',
               '2025-10-27 15:00:00+00:00', '2025-10-27 16:00:00+00:00',
               '2025-10-27 17:00:00+00:00', '2025-10-27 18:00:00+00:00',
               ...
               '2026-02-25 10:00:00+00:00', '2026-02-25 11:00:00+00:00',
               '2026-02-25 12:00:00+00:00', '2026-02-25 13:00:00+00:00',
               '2026-02-25 14:00:00+00:00', '2026-02-25 15:00:00+00:00',
               '2026-02-25 16:00:00+00:00', '2026-02-25 17:00:00+00:00',
               '2026-02-25 18:00:00+00:00', '2026-02-25 19:00:00+00:00'],
              dtype='datetime64[us, UTC]', name='timestamp', length=2049, freq=None)",success
