,dir_pressure_2,range_expansion_10,close_extreme_35,session_london,body_ratio,upper_wick_ratio,lower_wick_ratio
dir_pressure_2,1.0,-0.02571431303445303,0.00041067072905168103,-0.02436351552175861,0.005827287552927247,0.033595453994812924,-0.039246705128790055
range_expansion_10,-0.02571431303445303,1.0,0.056837517284242724,0.47459388140628067,0.15292460158727877,-0.1052361094962691,-0.08350772146717651
close_extreme_35,0.00041067072905168103,0.056837517284242724,1.0,0.0074947710083678645,0.365457232631238,-0.27694023192331557,-0.2666640964152153
session_london,-0.02436351552175861,0.47459388140628067,0.0074947710083678645,1.0,0.02596901630445898,-0.013540043110516882,-0.009886707323237444
body_ratio,0.005827287552927247,0.15292460158727877,0.365457232631238,0.02596901630445898,1.0,-0.6058901488076766,-0.6139454758648978
upper_wick_ratio,0.033595453994812924,-0.1052361094962691,-0.27694023192331557,-0.013540043110516882,-0.6058901488076766,1.0,-0.17623990041430282
lower_wick_ratio,-0.039246705128790055,-0.08350772146717651,-0.2666640964152153,-0.009886707323237444,-0.6139454758648978,-0.17623990041430282,1.0
