,fwd_ret_1h,fwd_ret_2h,fwd_ret_3h,fwd_ret_4h,fwd_ret_5h
dir_pressure_2,-0.02493799439017765,-0.02035209619632049,-0.015974631905894602,-0.009739568333175954,-0.007019502793704428
range_expansion_10,0.0015427974854872253,-0.0009354590773136195,-0.0013211660295636006,-0.0029988523365473115,-0.005866220747339032
close_extreme_35,-0.0029388521812496854,-0.00512774015431434,-0.0036885753294871267,-0.004508688306561209,-0.006698808542023188
session_london,-0.007740366161990598,-0.008737831356213985,-0.0040675762305336476,-0.0028322765947921174,-0.004759278663320566
body_ratio,0.0005870311426176577,-0.002874901432286062,-0.0027919606529143446,-0.00480446801962248,-0.002811560627279141
upper_wick_ratio,0.020960986665690868,0.02135306028380888,0.017466661542855515,0.018171463568839155,0.015791047376851608
lower_wick_ratio,-0.02241261115667876,-0.019175238639339225,-0.014879931868567094,-0.012191012653407045,-0.012474690709692385
